Date,Download (Mb/s),Upload (Mb/s),Ping (ms)
03/13/22@21,9.15,8.75,19.74
03/13/22@22,12.44,7.32,66.76
03/13/22@23,4.35,5.55,21.82
03/14/22@00,20.57,8.34,22.11
03/14/22@02,17.96,9.21,19.62
03/14/22@03,20.45,9.49,21.03
03/14/22@04,14.95,8.96,19.03
03/14/22@05,12.19,9.48,16.71
03/14/22@06,17.48,8.96,14.36
03/14/22@07,15.31,9.42,17.57
03/14/22@08,20.65,8.71,14.33
03/14/22@09,16.6,9.27,14.14
03/14/22@10,20.01,7.52,13.66
03/14/22@11,16.87,5.23,18.79
03/14/22@12,16.55,7.01,20.0
03/14/22@13,17.86,8.99,20.04
03/14/22@14,15.09,7.11,21.9
03/14/22@15,16.0,7.49,18.31
03/14/22@16,5.74,7.46,15.0
03/14/22@17,17.64,7.49,19.29
03/14/22@18,12.26,8.27,23.53
03/14/22@19,14.11,8.95,20.66
03/14/22@20,8.82,7.86,21.63
03/14/22@21,6.86,6.67,16.52
03/14/22@22,25.26,9.4,20.19
03/14/22@23,15.54,7.64,14.49
03/15/22@00,17.18,7.83,19.47
03/15/22@01,24.96,8.95,17.98
03/15/22@02,16.67,8.81,20.66
03/15/22@03,11.45,9.49,20.72
03/15/22@04,20.56,8.81,19.28
03/15/22@05,16.05,8.81,17.71
03/15/22@06,20.27,9.2,17.0
03/15/22@07,19.16,8.75,19.85
03/15/22@08,22.61,8.51,15.84
03/15/22@09,18.22,8.85,21.08
03/15/22@10,19.2,8.58,18.44
03/15/22@11,19.41,8.56,21.97
03/15/22@12,19.25,8.69,23.34
03/15/22@13,18.82,8.8,23.78
03/15/22@14,13.69,8.89,19.16
03/15/22@15,17.33,9.07,20.18
03/15/22@16,20.58,9.2,18.91
03/15/22@17,10.62,8.91,20.37
03/15/22@18,14.08,9.14,23.57
03/15/22@19,13.56,8.72,20.85
03/15/22@20,14.25,8.74,13.64
03/15/22@21,11.52,7.67,18.25
03/15/22@22,12.17,9.31,13.79
03/15/22@23,10.89,9.16,20.05
03/16/22@00,5.4,8.27,19.37
03/16/22@01,7.11,8.41,20.4
03/16/22@02,7.03,8.47,19.97
03/16/22@03,13.73,9.18,14.37
03/16/22@04,10.74,9.18,17.76
03/16/22@05,9.54,9.36,16.34
03/16/22@06,13.44,9.34,19.54
03/16/22@07,10.75,8.77,15.1
03/16/22@08,10.9,9.43,14.04
03/16/22@09,10.01,9.32,15.85
03/16/22@10,10.5,9.39,13.84
03/16/22@11,10.6,9.51,16.63
03/16/22@12,12.38,9.25,17.66
03/16/22@13,8.14,9.53,13.28
03/16/22@14,11.4,9.22,15.74
03/16/22@15,11.95,9.23,17.86
03/16/22@16,14.76,9.41,15.08
03/16/22@17,10.57,7.43,18.02
03/16/22@18,16.38,9.09,17.02
03/16/22@19,4.19,7.94,28.29
03/16/22@20,11.46,7.65,26.42
03/16/22@21,12.8,8.79,25.12
03/16/22@22,10.81,8.76,25.28
03/16/22@23,10.7,8.99,20.58
03/17/22@00,12.17,8.29,21.27
